Time(s),Force_mag (N),Angle,
3.92779,3.85304,-2.82245,
3.93607,3.88546,-2.85413,
3.94447,3.94816,-2.8987,
3.95272,4.00702,-2.94763,
3.96111,4.08067,-3.00484,
3.9694,4.18899,-3.05609,
3.97779,4.22044,-3.10278,
3.98609,4.40195,3.0378,
3.99449,4.3808,2.973,
4.00273,4.45444,2.8887,
4.01112,4.45571,2.81984,
4.0194,4.45722,2.76109,
4.02773,4.49295,2.70764,
4.03608,4.47816,2.6829,
4.0445,4.4908,2.64313,
4.05276,4.46502,2.59929,
4.06114,4.47355,2.55969,
4.0694,4.47644,2.52906,
4.07776,4.48919,2.49809,
4.08608,4.50154,2.37945,
4.09445,4.50871,2.29279,
4.10275,4.50717,2.22102,
4.11114,4.53115,2.16195,
4.11943,4.54851,2.09559,
4.12782,4.59922,1.94048,
4.1361,4.63177,1.85075,
4.14451,4.62489,1.72616,
4.15279,4.58879,1.53633,
4.16115,4.55,1.30163,
4.16944,4.34799,1.11165,
4.17783,4.09162,0.957861,
4.1861,3.76344,0.818719,
4.19451,3.57113,0.759226,
4.20278,3.42953,0.706355,
4.21116,3.31823,0.684295,
4.21944,3.22758,0.65931,
4.22783,3.16835,0.643501,
4.23612,3.12323,0.635838,
4.24452,3.09083,0.628332,
4.2528,3.09083,0.628332,
4.26117,3.0747,0.624635,
4.26947,3.0747,0.624635,
4.27782,3.0747,0.624635,
4.28612,3.0747,0.624635,
4.29452,3.0747,0.624635,
4.3028,3.05862,0.620977,
4.31116,3.05862,0.620977,
4.31946,3.0426,0.617355,
4.32783,3.0426,0.617355,
4.33614,3.0426,0.617355,
4.34453,3.0426,0.617355,
4.35281,3.02663,0.61377,
4.36117,3.02663,0.61377,
4.36948,3.02663,0.61377,
4.37784,3.02663,0.61377,
4.38614,3.02663,0.61377,
4.39449,3.02663,0.61377,
4.40281,3.02663,0.61377,
4.41118,3.01071,0.610221,
4.41948,2.99485,0.606708,
4.42785,2.99485,0.606708,
4.43615,2.97904,0.60323,
4.44454,2.97904,0.60323,
4.45286,2.9476,0.596378,
4.4612,2.93197,0.593003,
4.46951,2.93197,0.593003,
4.47787,2.87985,0.612669,
4.48618,2.69825,0.701927,
4.49451,2.63916,0.758378,
4.50282,2.45242,0.818843,
4.51121,2.37461,0.885779,
4.5195,2.15869,0.938047,
4.52791,2.13164,0.957296,
4.53619,2.0253,0.981476,
4.54458,1.92435,1.02247,
4.55284,1.84636,1.03977,
4.56121,1.76238,1.0511,
4.56954,1.75793,1.05719,
4.57788,1.75394,1.06326,
4.58617,1.70573,1.06969,
4.59453,1.68719,1.07775,
4.60282,1.66969,1.08571,
4.61121,1.63379,1.08571,
4.61951,1.58976,1.09557,
4.62788,1.58227,1.10137,
4.63618,1.56878,1.11291,
4.64457,1.56878,1.11291,
4.65285,1.56878,1.11291,
4.6612,1.56878,1.11291,
4.66953,1.56878,1.11291,
4.67787,1.56878,1.11291,
4.6862,1.56878,1.11291,
4.69458,1.56878,1.11291,
4.70287,1.56878,1.11291,
4.71122,1.56878,1.11291,
4.71953,1.56878,1.11291,
4.72789,1.56878,1.11291,
4.7362,1.56878,1.11291,
4.74457,1.56878,1.11291,
4.75289,1.56878,1.11291,
4.76125,1.57987,1.11676,
4.76957,1.59114,1.12064,
4.77791,1.60259,1.12452,
4.78622,1.59751,1.13027,
4.79458,1.59751,1.13027,
4.80291,1.59294,1.13599,
4.81126,1.6014,1.14559,
4.81956,1.6014,1.14559,
4.82793,1.59815,1.15127,
4.83624,1.53738,1.16254,
4.84455,1.50159,1.17535,
4.85289,1.48619,1.18638,
4.86126,1.47927,1.19185,
4.86952,1.494,1.22524,
4.87794,1.40159,1.24117,
4.88621,1.33622,1.2684,
4.89453,1.33767,1.29138,
4.90289,1.25179,1.31019,
4.91119,1.22884,1.31999,
4.91951,1.21823,1.32485,
4.92789,1.20821,1.32968,
4.93622,1.20821,1.32968,
4.94459,1.20821,1.32968,
4.9529,1.20821,1.32968,
4.96126,1.20821,1.32968,
4.96956,1.20821,1.32968,
4.97793,1.20821,1.32968,
4.9862,1.21711,1.33355,
4.99461,1.21711,1.33355,
5.00288,1.21711,1.33355,
5.01123,1.21711,1.33355,
5.01957,1.21711,1.33355,
5.02793,1.20813,1.33834,
5.03621,1.20813,1.33834,
5.0446,1.20813,1.33834,
5.05291,1.19978,1.34311,
5.06121,1.19978,1.34311,
5.06955,1.19978,1.34311,
5.07789,1.19978,1.34311,
5.08624,1.19978,1.34311,
5.09462,1.20977,1.34697,
5.10291,1.20977,1.34697,
5.11127,1.20977,1.34697,
5.11959,1.20977,1.34697,
5.12795,1.20977,1.34697,
5.13626,1.20977,1.34697,
5.14462,1.20977,1.34697,
5.15291,1.20977,1.34697,
5.16129,1.20977,1.34697,
5.1696,1.20977,1.34697,
5.17797,1.22003,1.35084,
5.18627,1.22003,1.35084,
5.19456,1.22003,1.35084,
5.20394,1.22003,1.35084,
5.21125,1.22003,1.35084,
5.21954,1.22003,1.35084,
5.2279,1.22003,1.35084,
5.23621,1.22003,1.35084,
5.24452,1.22003,1.35084,
5.2529,1.22003,1.35084,
5.26125,1.22003,1.35084,
5.26958,1.22003,1.35084,
5.27792,1.22003,1.35084,
5.28626,1.22003,1.35084,
5.29461,1.22003,1.35084,
5.30292,1.22003,1.35084,
5.31125,1.22003,1.35084,
5.31963,1.22003,1.35084,
5.32793,1.22003,1.35084,
5.33626,1.22003,1.35084,
5.34456,1.22003,1.35084,
5.35297,1.22003,1.35084,
5.36126,1.22003,1.35084,
5.36963,1.22003,1.35084,
5.37791,1.22003,1.35084,
